,house_name,lat_lon,school
249,South Wave Court&南濤閣,"22.2446175,114.1660919",0.1165
250,Nam Tai Mansion&南泰大樓,"22.3155041,114.2253723",0.1498
251,Larvotto&南灣,"22.2401066,114.1598587",0.1163
252,South Ocean Building&南洋大廈,"22.33255,114.1603317",0.0915
253,South Bay Towers&南灣大廈,"22.2281628,114.2004318",0.7053
254,Nam Yeung Mansion&南洋大樓,"22.3151779,114.2247009",0.1641
255,Nerine Cove&南浪海灣,"22.3817616,113.971405",0.1349
256,Nan Hai Mansion&南海大廈,"22.2838764,114.1303482",0.0227
257,South Sea Apartments&南海大廈,"22.3010139,114.1760559",0.0509
258,Jadewater&南灣御園,"22.2484894,114.1523056",0.3695
259,Nam Shing Mansion&南盛大廈,"22.4479389,114.1658325",0.1195
260,South Bay Palace&南灣御苑,"22.2376308,114.2005844",0.1636
261,Nam Cheung Building&南祥大廈,"22.4457035,114.0305176",0.0374
262,South Bay Villas&南灣新村,"22.2379723,114.2001419",0.1535
263,Nam Yuen&南苑,"22.444538100000006,114.0222092",0.1473
264,Southern Pearl Court&南珍閣,"22.276144,114.1827545",0.0499
265,Nan Chu Mansion&南珠大廈,"22.290247,114.1989975",0.116
266,Nan Fung Sun Chuen&南豐新邨,"22.2827206,114.2123032",0.2695
267,Nan Yuen Building&南苑大廈,"22.32477,114.1666718",0.1412
268,Nam Pont Building&南邦大廈,"22.3291779,114.1636047",0.2174
269,Nam Wah Mansion&南華大廈,"22.3156567,114.224678",0.1107
270,Rondall Building&南都大廈,"22.3311958,114.1654663",0.1226
271,South China Mansion&南華大廈,"22.2792397,114.2262115",0.2265
272,Nan Fung Plaza&南豐廣場,"22.3152218,114.2639923",0.0085
273,One South Lane&南里壹號,"22.2852001,114.1350327",0.0576
274,Oxford Heights&博林軒,"22.3281155,114.1877594",0.0486
275,Nam Hoy Building&南開大廈,"22.277071,114.1766586",0.0444
276,Hing Wong Building&卿旺大廈,"22.2835941,114.1277008",0.1344
277,Nam Hung Mansion&南雄大廈,"22.2853584,114.132019",0.2186
278,Hau Wo Building&厚和樓,"22.2826576,114.1270065",0.0111
279,Nam Fung Building&南風樓,"22.3237686,114.1655579",0.1029
280,Grand Scholar&博仕臺,"22.286499,114.1378021",0.0675
281,Pok Hong Estate&博康邨,"22.374506,114.1937332",0.0895
282,College Crest&博文閣,"22.328207,114.1838531",0.1252
283,Unique Villa&友園,"22.2660141,114.1878967",0.0331
